ID,JSON Key,Content Group,Context,Canonical Unit,English Source,Current Kannada,Claude Suggested Kannada,Reviewer Corrected Kannada,Status,Issue Types,Do Not Translate,Official Facts,Reviewer Notes,Source File,Source Line/Location
219,departments.civil.placement,Departments,Display sentence,civil.placement,Strong alumni network in reputed global construction and consultancy industries provides excellent career opportunities.,ಪ್ರತಿಷ್ಠಿತ ಜಾಗತಿಕ ನಿರ್ಮಾಣ ಮತ್ತು ಸಲಹಾ ಉದ್ಯಮಗಳಲ್ಲಿ ಬಲವಾದ ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ನೆಟ್‌ವರ್ಕ್ ಅತ್ಯುತ್ತಮ ವೃತ್ತಿ ಅವಕಾಶಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.,ಪ್ರತಿಷ್ಠಿತ ಜಾಗತಿಕ ನಿರ್ಮಾಣ ಮತ್ತು ಸಲಹಾ ಉದ್ಯಮಗಳಲ್ಲಿ ಬಲವಾದ ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ನೆಟ್‌ವರ್ಕ್ ಅತ್ಯುತ್ತಮ ವೃತ್ತಿ ಅವಕಾಶಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.,,Needs Native Review,,,,,kn.json / en.json,en:426 kn:212 | departments.civil.placement
220,departments.civil.fees,Departments,Display sentence,civil.fees,"KCET: ₹1,10,000/year | Management: Priority CET-FEES as per KEA","KCET: ₹1,10,000/ವರ್ಷ | ನಿರ್ವಹಣೆ: ಕೆಇಎ ಪ್ರಕಾರ ಆದ್ಯತೆಯ ಸಿಇಟಿ-ಶುಲ್ಕಗಳು","KCET: ₹1,10,000/ವರ್ಷ | ನಿರ್ವಹಣೆ: ಕೆಇಎ ಪ್ರಕಾರ ಆದ್ಯತೆಯ ಸಿಇಟಿ-ಶುಲ್ಕಗಳು",,Needs Native Review,Pipe character in display/narration text (not TTS-safe); Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:427 kn:213 | departments.civil.fees
221,departments.mechanical.name,Departments,Display sentence,mechanical.name,Mechanical Engineering,ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್,ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್,,Do Not Translate,,,,,kn.json / en.json,en:238 kn:216 | departments.mechanical.name
222,departments.mechanical.intro,Departments,Display paragraph,mechanical.intro,"Mechanical Engineering is the bedrock of industrial innovation. We instill global competency through practical, ethical education.","ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ಕೈಗಾರಿಕಾ ನಾವೀನ್ಯತೆಗಳ ತಳಹದಿಯಾಗಿದೆ. ಪ್ರಾಯೋಗಿಕ, ನೈತಿಕ ಶಿಕ್ಷಣದ ಮೂಲಕ ನಾವು ಜಾಗತಿಕ ಸಾಮರ್ಥ್ಯವನ್ನು ತುಂಬುತ್ತೇವೆ.",ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ಕೈಗಾರಿಕಾ ನಾವೀನ್ಯತೆಯ ತಳಹದಿಯಾಗಿದೆ. ಪ್ರಾಯೋಗಿಕ ಮತ್ತು ನೈತಿಕ ಶಿಕ್ಷಣದ ಮೂಲಕ ನಾವು ಜಾಗತಿಕ ಸ್ಪರ್ಧಾತ್ಮಕ ಸಾಮರ್ಥ್ಯವನ್ನು ಬೆಳೆಸುತ್ತೇವೆ.,,AI Checked,,,,,kn.json / en.json,en:431 kn:217 | departments.mechanical.intro
223,departments.mechanical.hod_voice,Departments,Narration paragraph,mechanical.hod_voice,"Under Dr. Raghavendra S, we create technologically superior global manpower through active industry participation and R&D.","ಡಾ. ರಾಘವೇಂದ್ರ ಎಸ್ ಅಡಿಯಲ್ಲಿ, ನಾವು ಸಕ್ರಿಯ ಉದ್ಯಮ ಭಾಗವಹಿಸುವಿಕೆ ಮತ್ತು ಆರ್ & ಡಿ ಮೂಲಕ ತಾಂತ್ರಿಕವಾಗಿ ಉನ್ನತ ಜಾಗತಿಕ ಮಾನವಶಕ್ತಿಯನ್ನು ರಚಿಸುತ್ತೇವೆ.","ಡಾ. ರಾಘವೇಂದ್ರ ಎಸ್ ಅಡಿಯಲ್ಲಿ, ನಾವು ಸಕ್ರಿಯ ಉದ್ಯಮ ಭಾಗವಹಿಸುವಿಕೆ ಮತ್ತು ಆರ್ & ಡಿ ಮೂಲಕ ತಾಂತ್ರಿಕವಾಗಿ ಉನ್ನತ ಜಾಗತಿಕ ಮಾನವಶಕ್ತಿಯನ್ನು ರಚಿಸುತ್ತೇವೆ.",,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:432 kn:218 | departments.mechanical.hod_voice
224,departments.mechanical.achievements,Departments,Display paragraph,mechanical.achievements,Our well-equipped labs and dedicated researchers provide hands-on technical skill enhancement with modern tools.,ನಮ್ಮ ಸುಸಜ್ಜಿತ ಲ್ಯಾಬ್‌ಗಳು ಮತ್ತು ಮೀಸಲಾದ ಸಂಶೋಧಕರು ಆಧುನಿಕ ಪರಿಕರಗಳೊಂದಿಗೆ ತಾಂತ್ರಿಕ ಕೌಶಲ್ಯ ವರ್ಧನೆಯನ್ನು ಒದಗಿಸುತ್ತಾರೆ.,ನಮ್ಮ ಸುಸಜ್ಜಿತ ಲ್ಯಾಬ್‌ಗಳು ಮತ್ತು ಮೀಸಲಾದ ಸಂಶೋಧಕರು ಆಧುನಿಕ ಪರಿಕರಗಳೊಂದಿಗೆ ತಾಂತ್ರಿಕ ಕೌಶಲ್ಯ ವರ್ಧನೆಯನ್ನು ಒದಗಿಸುತ್ತಾರೆ.,,Needs Native Review,,,,,kn.json / en.json,en:433 kn:219 | departments.mechanical.achievements
225,departments.mechanical.placement,Departments,Display sentence,mechanical.placement,"Core manufacturing and automotive companies actively recruit our skilled, industry-ready graduates.","ಕೋರ್ ಉತ್ಪಾದನೆ ಮತ್ತು ವಾಹನ ಕಂಪನಿಗಳು ನಮ್ಮ ನುರಿತ, ಉದ್ಯಮ-ಸಿದ್ಧ ಪದವೀಧರರನ್ನು ಸಕ್ರಿಯವಾಗಿ ನೇಮಿಸಿಕೊಳ್ಳುತ್ತವೆ.","ಕೋರ್ ಉತ್ಪಾದನೆ ಮತ್ತು ವಾಹನ ಕಂಪನಿಗಳು ನಮ್ಮ ನುರಿತ, ಉದ್ಯಮ-ಸಿದ್ಧ ಪದವೀಧರರನ್ನು ಸಕ್ರಿಯವಾಗಿ ನೇಮಿಸಿಕೊಳ್ಳುತ್ತವೆ.",,Needs Native Review,,,,,kn.json / en.json,en:434 kn:220 | departments.mechanical.placement
226,departments.mechanical.fees,Departments,Display sentence,mechanical.fees,"KCET: ₹1,10,000/year | Management: Priority CET-FEES as per KEA","KCET: ₹1,10,000/ವರ್ಷ | ನಿರ್ವಹಣೆ: ಕೆಇಎ ಪ್ರಕಾರ ಆದ್ಯತೆಯ ಸಿಇಟಿ-ಶುಲ್ಕಗಳು","KCET: ₹1,10,000/ವರ್ಷ | ನಿರ್ವಹಣೆ: ಕೆಇಎ ಪ್ರಕಾರ ಆದ್ಯತೆಯ ಸಿಇಟಿ-ಶುಲ್ಕಗಳು",,Needs Native Review,Pipe character in display/narration text (not TTS-safe); Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:427 kn:213 | departments.mechanical.fees
227,departments.mba.name,Departments,Display sentence,mba.name,Master of Business Administration,ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್,ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್,,Do Not Translate,,,,,kn.json / en.json,en:249 kn:224 | departments.mba.name
228,departments.mba.intro,Departments,Display paragraph,mba.intro,"Our MBA program empowers students with the knowledge, skills, and values needed for holistic corporate development.","ನಮ್ಮ MBA ಪ್ರೋಗ್ರಾಂ ಸಮಗ್ರ ಸಾಂಸ್ಥಿಕ ಅಭಿವೃದ್ಧಿಗೆ ಅಗತ್ಯವಿರುವ ಜ್ಞಾನ, ಕೌಶಲ್ಯ ಮತ್ತು ಮೌಲ್ಯಗಳೊಂದಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಅಧಿಕಾರ ನೀಡುತ್ತದೆ.","ನಮ್ಮ MBA ಪ್ರೋಗ್ರಾಂ ಸಮಗ್ರ ಸಾಂಸ್ಥಿಕ ಅಭಿವೃದ್ಧಿಗೆ ಅಗತ್ಯವಿರುವ ಜ್ಞಾನ, ಕೌಶಲ್ಯ ಮತ್ತು ಮೌಲ್ಯಗಳೊಂದಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಅಧಿಕಾರ ನೀಡುತ್ತದೆ.",,Needs Native Review,,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:439 kn:225 | departments.mba.intro
229,departments.mba.hod_voice,Departments,Narration paragraph,mba.hod_voice,"Led by Dr. Jogish D, boasting 25+ years of experience, we master Specializations across Finance, HR, IT, and Marketing.","ಡಾ. ಜೋಗೀಶ್ ಡಿ ನೇತೃತ್ವದಲ್ಲಿ, 25+ ವರ್ಷಗಳ ಅನುಭವದ ಹೆಗ್ಗಳಿಕೆ, ನಾವು ಹಣಕಾಸು, ಮಾನವ ಸಂಪನ್ಮೂಲ, ಐಟಿ ಮತ್ತು ಮಾರ್ಕೆಟಿಂಗ್‌ನಾದ್ಯಂತ ವಿಶೇಷತೆಗಳನ್ನು ಕರಗತ ಮಾಡಿಕೊಳ್ಳುತ್ತೇವೆ.","ಡಾ. ಜೋಗೀಶ್ ಡಿ ಅವರ ನೇತೃತ್ವದಲ್ಲಿ, 25+ ವರ್ಷಗಳ ಅನುಭವದೊಂದಿಗೆ, ನಾವು ಹಣಕಾಸು, ಮಾನವ ಸಂಪನ್ಮೂಲ, IT ಮತ್ತು ಮಾರ್ಕೆಟಿಂಗ್ ವಿಶೇಷತೆಗಳನ್ನು ಕರಗತ ಮಾಡಿಕೊಳ್ಳುತ್ತೇವೆ.",,AI Checked,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:440 kn:226 | departments.mba.hod_voice
230,departments.mba.achievements,Departments,Display paragraph,mba.achievements,Our modern management laboratories and experienced full-time faculty drive premier business education and alumni success.,ನಮ್ಮ ಆಧುನಿಕ ನಿರ್ವಹಣಾ ಪ್ರಯೋಗಾಲಯಗಳು ಮತ್ತು ಅನುಭವಿ ಪೂರ್ಣ ಸಮಯದ ಅಧ್ಯಾಪಕರು ಪ್ರಧಾನ ವ್ಯಾಪಾರ ಶಿಕ್ಷಣ ಮತ್ತು ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ಯಶಸ್ಸನ್ನು ಹೆಚ್ಚಿಸುತ್ತಾರೆ.,ನಮ್ಮ ಆಧುನಿಕ ನಿರ್ವಹಣಾ ಪ್ರಯೋಗಾಲಯಗಳು ಮತ್ತು ಅನುಭವಿ ಪೂರ್ಣ ಸಮಯದ ಅಧ್ಯಾಪಕರು ಪ್ರಧಾನ ವ್ಯಾಪಾರ ಶಿಕ್ಷಣ ಮತ್ತು ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ಯಶಸ್ಸನ್ನು ಹೆಚ್ಚಿಸುತ್ತಾರೆ.,,Needs Native Review,,,,,kn.json / en.json,en:441 kn:227 | departments.mba.achievements
231,departments.mba.placement,Departments,Display sentence,mba.placement,Comprehensive career guidance places our postgraduates in leading global corporations across diverse business sectors.,ಸಮಗ್ರ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನವು ನಮ್ಮ ಸ್ನಾತಕೋತ್ತರ ಪದವೀಧರರನ್ನು ವೈವಿಧ್ಯಮಯ ವ್ಯಾಪಾರ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಪ್ರಮುಖ ಜಾಗತಿಕ ನಿಗಮಗಳಲ್ಲಿ ಇರಿಸುತ್ತದೆ.,ಸಮಗ್ರ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನವು ನಮ್ಮ ಸ್ನಾತಕೋತ್ತರ ಪದವೀಧರರನ್ನು ವೈವಿಧ್ಯಮಯ ವ್ಯಾಪಾರ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಪ್ರಮುಖ ಜಾಗತಿಕ ನಿಗಮಗಳಲ್ಲಿ ಇರಿಸುತ್ತದೆ.,,Needs Native Review,,,,,kn.json / en.json,en:442 kn:228 | departments.mba.placement
232,departments.mba.fees,Departments,Display sentence,mba.fees,"Total Course (2 Years): General ₹1,55,000 - ₹3,10,000 | Core Specializations ₹1,40,000","ಒಟ್ಟು ಕೋರ್ಸ್ (2 ವರ್ಷಗಳು): ಸಾಮಾನ್ಯ ₹1,55,000 - ₹3,10,000 | ಪ್ರಮುಖ ವಿಶೇಷತೆಗಳು ₹1,40,000","ಒಟ್ಟು ಕೋರ್ಸ್ (2 ವರ್ಷಗಳು): ಸಾಮಾನ್ಯ ₹1,55,000 - ₹3,10,000 | ಪ್ರಮುಖ ವಿಶೇಷತೆಗಳು ₹1,40,000",,Needs Native Review,Pipe character in display/narration text (not TTS-safe); Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:443 kn:229 | departments.mba.fees
233,departments.basic_sciences.name,Departments,Display sentence,basic_sciences.name,Basic Sciences,ಮೂಲ ವಿಜ್ಞಾನಗಳು,ಮೂಲ ವಿಜ್ಞಾನಗಳು,,Do Not Translate,,,,,kn.json / en.json,en:446 kn:232 | departments.basic_sciences.name
234,departments.basic_sciences.intro,Departments,Display paragraph,basic_sciences.intro,"The Basic Sciences departments—Mathematics, Physics, and Chemistry—provide the essential scientific and analytical foundation for all engineers.","ಮೂಲಭೂತ ವಿಜ್ಞಾನ ವಿಭಾಗಗಳು - ಗಣಿತ, ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ರಸಾಯನಶಾಸ್ತ್ರ - ಎಲ್ಲಾ ಇಂಜಿನಿಯರ್‌ಗಳಿಗೆ ಅಗತ್ಯವಾದ ವೈಜ್ಞಾನಿಕ ಮತ್ತು ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಡಿಪಾಯವನ್ನು ಒದಗಿಸುತ್ತದೆ.","ಮೂಲಭೂತ ವಿಜ್ಞಾನ ವಿಭಾಗಗಳು - ಗಣಿತ, ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ರಸಾಯನಶಾಸ್ತ್ರ - ಎಲ್ಲಾ ಇಂಜಿನಿಯರ್‌ಗಳಿಗೆ ಅಗತ್ಯವಾದ ವೈಜ್ಞಾನಿಕ ಮತ್ತು ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಡಿಪಾಯವನ್ನು ಒದಗಿಸುತ್ತದೆ.",,Needs Native Review,,,,,kn.json / en.json,en:447 kn:233 | departments.basic_sciences.intro
235,departments.basic_sciences.hod_voice,Departments,Narration paragraph,basic_sciences.hod_voice,"Headed by Dr. Arun Kumar R, Dr. Shankar P, and Dr. Bhagya N P, we promote mathematical thinking, applied chemistry, and fundamental physics.","ಡಾ. ಅರುಣ್ ಕುಮಾರ್ ಆರ್, ಡಾ. ಶಂಕರ್ ಪಿ, ಮತ್ತು ಡಾ. ಭಾಗ್ಯ ಎನ್ ಪಿ ಅವರ ನೇತೃತ್ವದಲ್ಲಿ ನಾವು ಗಣಿತದ ಚಿಂತನೆ, ಅನ್ವಯಿಕ ರಸಾಯನಶಾಸ್ತ್ರ ಮತ್ತು ಮೂಲಭೂತ ಭೌತಶಾಸ್ತ್ರವನ್ನು ಉತ್ತೇಜಿಸುತ್ತೇವೆ.","ಡಾ. ಅರುಣ್ ಕುಮಾರ್ ಆರ್, ಡಾ. ಶಂಕರ್ ಪಿ, ಮತ್ತು ಡಾ. ಭಾಗ್ಯ ಎನ್ ಪಿ ಅವರ ನೇತೃತ್ವದಲ್ಲಿ ನಾವು ಗಣಿತದ ಚಿಂತನೆ, ಅನ್ವಯಿಕ ರಸಾಯನಶಾಸ್ತ್ರ ಮತ್ತು ಮೂಲಭೂತ ಭೌತಶಾಸ್ತ್ರವನ್ನು ಉತ್ತೇಜಿಸುತ್ತೇವೆ.",,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:448 kn:234 | departments.basic_sciences.hod_voice
236,departments.basic_sciences.achievements,Departments,Display paragraph,basic_sciences.achievements,"Recognized as VTU Research Centres, our faculty continuously publish research findings in peer-reviewed international journals.","VTU ಸಂಶೋಧನಾ ಕೇಂದ್ರಗಳೆಂದು ಗುರುತಿಸಲ್ಪಟ್ಟಿದೆ, ನಮ್ಮ ಅಧ್ಯಾಪಕರು ಪೀರ್-ರಿವ್ಯೂಡ್ ಅಂತರಾಷ್ಟ್ರೀಯ ನಿಯತಕಾಲಿಕಗಳಲ್ಲಿ ಸಂಶೋಧನಾ ಸಂಶೋಧನೆಗಳನ್ನು ನಿರಂತರವಾಗಿ ಪ್ರಕಟಿಸುತ್ತಾರೆ.","VTU ಸಂಶೋಧನಾ ಕೇಂದ್ರಗಳೆಂದು ಗುರುತಿಸಲ್ಪಟ್ಟಿದೆ, ನಮ್ಮ ಅಧ್ಯಾಪಕರು ಪೀರ್-ರಿವ್ಯೂಡ್ ಅಂತರಾಷ್ಟ್ರೀಯ ನಿಯತಕಾಲಿಕಗಳಲ್ಲಿ ಸಂಶೋಧನಾ ಸಂಶೋಧನೆಗಳನ್ನು ನಿರಂತರವಾಗಿ ಪ್ರಕಟಿಸುತ್ತಾರೆ.",,Needs Native Review,,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:449 kn:235 | departments.basic_sciences.achievements
237,departments.basic_sciences.placement,Departments,Display sentence,basic_sciences.placement,A strong first-year foundation ensures all SVIT engineers excel in aptitude and logical reasoning throughout their careers.,ಪ್ರಬಲವಾದ ಮೊದಲ-ವರ್ಷದ ಅಡಿಪಾಯವು ಎಲ್ಲಾ SVIT ಇಂಜಿನಿಯರ್‌ಗಳು ತಮ್ಮ ವೃತ್ತಿಜೀವನದ ಉದ್ದಕ್ಕೂ ಯೋಗ್ಯತೆ ಮತ್ತು ತಾರ್ಕಿಕ ತಾರ್ಕಿಕತೆಯಲ್ಲಿ ಉತ್ಕೃಷ್ಟತೆಯನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.,ಬಲವಾದ ಪ್ರಥಮ ವರ್ಷದ ಅಡಿಪಾಯವು ಎಲ್ಲಾ SVIT ಎಂಜಿನಿಯರ್‌ಗಳು ತಮ್ಮ ವೃತ್ತಿಜೀವನದುದ್ದಕ್ಕೂ ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ ಮತ್ತು ತಾರ್ಕಿಕ ಚಿಂತನೆಯಲ್ಲಿ ಉತ್ಕೃಷ್ಟರಾಗಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.,,AI Checked,,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:450 kn:236 | departments.basic_sciences.placement
238,departments.basic_sciences.fees,Departments,Display sentence,basic_sciences.fees,Integrated seamlessly across the first-year engineering curriculum.,ಮೊದಲ ವರ್ಷದ ಎಂಜಿನಿಯರಿಂಗ್ ಪಠ್ಯಕ್ರಮದಾದ್ಯಂತ ಮನಬಂದಂತೆ ಸಂಯೋಜಿಸಲಾಗಿದೆ.,ಈ ವಿಷಯಗಳನ್ನು ಪ್ರಥಮ ವರ್ಷದ ಎಂಜಿನಿಯರಿಂಗ್ ಪಠ್ಯಕ್ರಮದೊಂದಿಗೆ ಏಕೀಕೃತಗೊಳಿಸಲಾಗಿದೆ.,,AI Checked,,,,,kn.json / en.json,en:451 kn:237 | departments.basic_sciences.fees
239,placements_and_training.objectives,Placements & Training,Display paragraph,,"1. Provide 100% placement assistance and professional career support [cite: 408] 2. Train students in communication, aptitude, technical knowledge, and interview preparation [cite: 409] 3. Build strong industry-institution partnerships for internships and campus placements [cite: 410]","1. 100% ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಸಹಾಯ ಮತ್ತು ವೃತ್ತಿಪರ ವೃತ್ತಿ ಬೆಂಬಲ ನೀಡುವುದು 2. ಸಂವಹನ, ಯೋಗ್ಯತೆ, ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಮತ್ತು ಸಂದರ್ಶನ ತಯಾರಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ತರಬೇತಿಯನ್ನು ನೀಡುವುದು 3. ಇಂಟರ್ನ್‌ಶಿಪ್ ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳಿಗೆ ಬಲವಾದ ಉದ್ಯಮ-ಸಂಸ್ಥೆ ಪಾಲುದಾರಿಕೆಯನ್ನು ಕಟ್ಟುವುದು","1. 100% ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಸಹಾಯ ಮತ್ತು ವೃತ್ತಿಪರ ವೃತ್ತಿ ಬೆಂಬಲ ನೀಡುವುದು 2. ಸಂವಹನ, ಯೋಗ್ಯತೆ, ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಮತ್ತು ಸಂದರ್ಶನ ತಯಾರಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ತರಬೇತಿಯನ್ನು ನೀಡುವುದು 3. ಇಂಟರ್ನ್‌ಶಿಪ್ ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳಿಗೆ ಬಲವಾದ ಉದ್ಯಮ-ಸಂಸ್ಥೆ ಪಾಲುದಾರಿಕೆಯನ್ನು ಕಟ್ಟುವುದು",,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:455 kn:241 | placements_and_training.objectives
240,placements_and_training.training_programs,Placements & Training,Display paragraph,,"1. Aptitude & Logical Reasoning Training [cite: 413] 2. Weekly Mock Aptitude & Technical Assessments [cite: 414] 3. Soft Skills & Communication Skills [cite: 415] 4. Technical Skill Development Workshops (Core, IT, Emerging Technologies) [cite: 416] 5. Mock Interviews & Group Discussions [cite: 417]","1. ಯೋಗ್ಯತೆ ಮತ್ತು ತಾರ್ಕಿಕ ತರ್ಕ ತರಬೇತಿ 2. ವಾರದ ಮಾಕ್ ಯೋಗ್ಯತೆ ಮತ್ತು ತಾಂತ್ರಿಕ ಮೌಲ್ಯಮಾಪನಗಳು 3. ಮೃದು ಕೌಶಲ್ಯಗಳು ಮತ್ತು ಸಂವಹನ ಕೌಶಲ್ಯಗಳು 4. ತಾಂತ್ರಿಕ ಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿ ಕಾರ್ಯಾಗಾರಗಳು (ಕೋರ್, ಐಟಿ, ಉದಯೋನ್ಮುಖ ತಂತ್ರಜ್ಞಾನಗಳು) 5. ಮಾಕ್ ಸಂದರ್ಶನಗಳು ಮತ್ತು ಗುಂಪು ಚರ್ಚೆಗಳು","1. ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ ಮತ್ತು ತಾರ್ಕಿಕ ತರ್ಕ ತರಬೇತಿ. 2. ಸಾಪ್ತಾಹಿಕ ಮಾಕ್ ಯೋಗ್ಯತಾ ಮತ್ತು ತಾಂತ್ರಿಕ ಮೌಲ್ಯಮಾಪನಗಳು. 3. ಸೌಮ್ಯ ಕೌಶಲ್ಯ ಮತ್ತು ಸಂವಹನ ಕೌಶಲ್ಯಗಳು. 4. ತಾಂತ್ರಿಕ ಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿ ಕಾರ್ಯಾಗಾರಗಳು (ಕೋರ್, IT, ಉದಯೋನ್ಮುಖ ತಂತ್ರಜ್ಞಾನಗಳು). 5. ಮಾಕ್ ಸಂದರ್ಶನಗಳು ಮತ್ತು ಗುಂಪು ಚರ್ಚೆಗಳು.",,AI Checked,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:456 kn:242 | placements_and_training.training_programs
241,placements_and_training.additional_details.objectives[0],Placements & Training,Display paragraph,,1. Provide 100% placement assistance and professional career support [cite: 408],1. 100% ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಸಹಾಯ ಮತ್ತು ವೃತ್ತಿಪರ ವೃತ್ತಿ ಬೆಂಬಲ ನೀಡುವುದು,1. 100% ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಸಹಾಯ ಮತ್ತು ವೃತ್ತಿಪರ ವೃತ್ತಿ ಬೆಂಬಲ ನೀಡುವುದು,,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:455 kn:241 | placements_and_training.additional_details.objectives[0]
242,placements_and_training.additional_details.objectives[1],Placements & Training,Display paragraph,,"2. Train students in communication, aptitude, technical knowledge, and interview preparation [cite: 409]","2. ಸಂವಹನ, ಯೋಗ್ಯತೆ, ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಮತ್ತು ಸಂದರ್ಶನ ತಯಾರಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ತರಬೇತಿಯನ್ನು ನೀಡುವುದು","2. ಸಂವಹನ, ಯೋಗ್ಯತೆ, ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಮತ್ತು ಸಂದರ್ಶನ ತಯಾರಿಗೆ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ತರಬೇತಿಯನ್ನು ನೀಡುವುದು",,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:455 kn:241 | placements_and_training.additional_details.objectives[1]
